Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
313,P Slovic,"Risk, media and stigma: Understanding public challenges to modern science and technology",2013,,books.google.com,https://books.google.com/books?hl=en&lr=&id=AcT9AQAAQBAJ&oi=fnd&pg=PP1&ots=tp2Qis_ebE&sig=9G0FvHxXisuJzAEr2WZHywlXfbk,"https://scholar.google.com/scholar?cites=14536691876739243741&as_sdt=40005&sciodt=0,10&hl=en",11,2/3/2022 14:17,BOOK,,,,,,,,313,34.78,313,1,9,"The benefits of modern technology often involve health, safety and environmental risks that produce public suspicion of technologies and aversion to certain products and substances. Amplified by the pervasive power of the media, public concern about health and ecological …",,"https://scholar.google.com/scholar?q=related:3V5ZQj60vMkJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
310,"BM D'onofrio, BB Lahey, ...","Critical need for family-based, quasi-experimental designs in integrating genetic and social science research",2013,… journal of public …,ajph.aphapublications.org,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2013.301252,"https://scholar.google.com/scholar?cites=13804601411549688752&as_sdt=40005&sciodt=0,10&hl=en",12,2/3/2022 14:17,,10.2105/AJPH.2013.301252,,,,,,,310,34.44,103,3,9,"Researchers have identified environmental risks that predict subsequent psychological and medical problems. Based on these correlational findings, researchers have developed and tested complex developmental models and have examined biological moderating factors …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3778076/,"https://scholar.google.com/scholar?q=related:sHNGCdjLk78J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
297,"A Satija, E Yu, WC Willett, FB Hu",Understanding nutritional epidemiology and its role in policy,2015,Advances in nutrition,academic.oup.com,https://academic.oup.com/advances/article-abstract/6/1/5/4558031,"https://scholar.google.com/scholar?cites=6090859156660638813&as_sdt=40005&sciodt=0,10&hl=en",13,2/3/2022 14:17,,,,,,,,,297,42.43,74,4,7,"Nutritional epidemiology has recently been criticized on several fronts, including the inability to measure diet accurately, and for its reliance on observational studies to address etiologic questions. In addition, several recent meta-analyses with serious methodologic flaws have …",https://academic.oup.com/advances/article/6/1/5/4558031?login=true,"https://scholar.google.com/scholar?q=related:XVSx2SEUh1QJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
264,JPA Ioannidis,Implausible results in human nutrition research,2013,Bmj,bmj.com,https://www.bmj.com/content/347/bmj.f6698.pdf+html,"https://scholar.google.com/scholar?cites=17792352543250041586&as_sdt=40005&sciodt=0,10&hl=en",14,2/3/2022 14:17,,,,,,,,,264,29.33,264,1,9,Research into human nutrition has been criticized on numerous occasions. Critics have focused on the poor track record of observational claims when tested in subsequent randomized trials (0/52 success rate in one review) and perpetuated fallacies. 1 2 3 In …,http://www.dcscience.net/Ioannidis-2013-nutrition-bmj.pdf,"https://scholar.google.com/scholar?q=related:8srvwl4i6_YJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
240,"H LaFollette, N Shanks",Brute science: Dilemmas of animal experimentation,2020,,api.taylorfrancis.com,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003060000&type=googlepdf,"https://scholar.google.com/scholar?cites=17538026206264930646&as_sdt=40005&sciodt=0,10&hl=en",15,2/3/2022 14:17,BOOK,,,,,,,,240,120,120,2,2,"Brute Science investigates whether biomedical research using animals is, in fact, scientifically justified. Hugh LaFollette and Niall Shanks examine the issues in scientific terms using the models that scientists themselves use. They argue that we need to reassess …",https://www.researchgate.net/profile/Hugh-Lafollette/publication/346326070_Brute_Science_Dilemmas_of_Animal_Experimentation/links/61081ec40c2bfa282a1a1d64/Brute-Science-Dilemmas-of-Animal-Experimentation.pdf,"https://scholar.google.com/scholar?q=related:VrHpBeqVY_MJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
236,"S Burgess, SG Thompson",Mendelian randomization: methods for using genetic variants in causal estimation,2015,,books.google.com,https://books.google.com/books?hl=en&lr=&id=WYSbBgAAQBAJ&oi=fnd&pg=PP1&ots=SCLxsFDxF3&sig=EDx5o9Pv8Areculo976TiiCv5jE,"https://scholar.google.com/scholar?cites=5040447101235160362&as_sdt=40005&sciodt=0,10&hl=en",16,2/3/2022 14:17,BOOK,,,,,,,,236,33.71,118,2,7,"Presents the Terminology and Methods of Mendelian Randomization for Epidemiological StudiesMendelian randomization uses genetic instrumental variables to make inferences about causal effects based on observational data. It, therefore, can be a reliable way of …",,"https://scholar.google.com/scholar?q=related:KuVE4u5D80UJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
229,WG Hopkins,Estimating Sample Size for Magnitude-Based Inferences.,2017,Sportscience,search.ebscohost.com,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=11749210&AN=124138147&h=DEOaN3DXkNcxoMdDw8g2jQp1Gm6Dn8fQ0nLxw%2F1kNOJK5n6X6ce0lTJ0i0He7kRS3t2F2KtgfzYZB4nDLh6yUA%3D%3D&crl=c,"https://scholar.google.com/scholar?cites=10810939139083902487&as_sdt=40005&sciodt=0,10&hl=en",17,2/3/2022 14:17,,,,,,,,,229,45.8,229,1,5,"Sample-size estimation based on the traditional method of statistical significance is not appropriate for a study designed to make an inference about real-world significance, which requires interpretation of magnitude of an outcome. I present here a spreadsheet using two …",,"https://scholar.google.com/scholar?q=related:F552Qd4rCJYJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
215,"E Archer, G Pavela, CJ Lavie",The inadmissibility of what we eat in America and NHANES dietary data in nutrition and obesity research and the scientific formulation of national dietary guidelines,2015,Mayo Clinic Proceedings,Elsevier,https://www.sciencedirect.com/science/article/pii/S0025619615003195,"https://scholar.google.com/scholar?cites=3271240813777882176&as_sdt=40005&sciodt=0,10&hl=en",18,2/3/2022 14:17,,,,,,,,,215,30.71,72,3,7,"Abstract The Scientific Report of the 2015 Dietary Guidelines Advisory Committee was primarily informed by memory-based dietary assessment methods (M-BMs)(eg, interviews and surveys). The reliance on M-BMs to inform dietary policy continues despite decades of …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4527547/,"https://scholar.google.com/scholar?q=related:QIz9NzDIZS0J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
210,A Morabia,A history of epidemiologic methods and concepts,2013,,books.google.com,https://books.google.com/books?hl=en&lr=&id=O40HCAAAQBAJ&oi=fnd&pg=PR12&ots=t03Te2rh8b&sig=KT1KthIb8cAZ-GuMZ51cqBW-DKY,"https://scholar.google.com/scholar?cites=6295385453333206660&as_sdt=40005&sciodt=0,10&hl=en",19,2/3/2022 14:17,BOOK,,,,,,,,210,23.33,210,1,9,"Methods, just as diseases or scientists, have their own history. It is important for scientists to be aware of the genesis of the methods they use and of the context in which they were developed. A History of Epidemiologic Methods and Concepts is based on a collection of …",,"https://scholar.google.com/scholar?q=related:hFYWJrezXVcJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
199,"RC Brownson, JA Jacobs, ...",Designing for dissemination among public health researchers: findings from a national survey in the United States,2013,… journal of public …,ajph.aphapublications.org,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2012.301165,"https://scholar.google.com/scholar?cites=1401736147539840297&as_sdt=40005&sciodt=0,10&hl=en",20,2/3/2022 14:17,,10.2105/AJPH.2012.301165,,,,,,,199,22.11,66,3,9,"Objectives. We have described the practice of designing for dissemination among researchers in the United States with the intent of identifying gaps and areas for improvement. Methods. In 2012, we conducted a cross-sectional study of 266 researchers …",https://ajph.aphapublications.org/doi/pdfplus/10.2105/AJPH.2012.301165,"https://scholar.google.com/scholar?q=related:Kc3vdpn3cxMJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
199,"JD Schoenfeld, JPA Ioannidis",Is everything we eat associated with cancer? A systematic cookbook review,2013,The American journal of clinical …,academic.oup.com,https://academic.oup.com/ajcn/article-abstract/97/1/127/4576988,"https://scholar.google.com/scholar?cites=11054683744000975781&as_sdt=40005&sciodt=0,10&hl=en",21,2/3/2022 14:17,,,,,,,,,199,22.11,100,2,9,"Background: Nutritional epidemiology is a highly prolific field. Debates on associations of nutrients with disease risk are common in the literature and attract attention in public media. Objective: We aimed to examine the conclusions, statistical significance, and reproducibility …",https://academic.oup.com/ajcn/article/97/1/127/4576988?fbclid=IwAR14eI2irLrR17dSx8c69n8oGAn0BTL4Lwj3i2BjZzY3qK-4Ou8w_fE0MNQ,"https://scholar.google.com/scholar?q=related:paN2gUsgapkJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
198,"F Song, L Hooper, Y Loke",Publication bias: what is it? How do we measure it? How do we avoid it?,2013,Open Access Journal of Clinical …,ueaeprints.uea.ac.uk,https://ueaeprints.uea.ac.uk/id/eprint/43035/1/f_OAJCT_34419_publication_bias_what_is_it_how_do_we_measure_it_how_do_w_070313_16644.pdf,"https://scholar.google.com/scholar?cites=3314689092619627049&as_sdt=40005&sciodt=0,10&hl=en",22,2/3/2022 14:17,PDF,,,,,,,,198,22,66,3,9,"Publication bias occurs when results of published studies are systematically different from results of unpublished studies. The term “dissemination bias” has also been recommended to describe all forms of biases in the research-dissemination process, including outcome …",https://ueaeprints.uea.ac.uk/id/eprint/43035/1/f_OAJCT_34419_publication_bias_what_is_it_how_do_we_measure_it_how_do_w_070313_16644.pdf,"https://scholar.google.com/scholar?q=related:KWp08iokAC4J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
191,"K Heinemann, S Reed, S Moehner, T Do Minh",Risk of uterine perforation with levonorgestrel-releasing and copper intrauterine devices in the European Active Surveillance Study on Intrauterine Devices,2015,Contraception,Elsevier,https://www.sciencedirect.com/science/article/pii/S0010782415000086,"https://scholar.google.com/scholar?cites=3994539080711896794&as_sdt=40005&sciodt=0,10&hl=en",23,2/3/2022 14:17,HTML,,,,,,,,191,27.29,48,4,7,"Objectives The objectives were to identify and compare the incidence of uterine perforation and other medically adverse events associated with levonorgestrel-releasing intrauterine systems (LNG-IUSs, releasing 20 mcg LNG daily) and copper intrauterine devices (IUDs) …",https://www.sciencedirect.com/science/article/pii/S0010782415000086,"https://scholar.google.com/scholar?q=related:2n4_QyF0bzcJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
159,"J Lam, E Koustas, P Sutton, PI Johnson, ...",The Navigation Guide—evidence-based medicine meets environmental health: integration of animal and human evidence for PFOA effects on fetal growth,2014,Environmental …,ehp.niehs.nih.gov,https://ehp.niehs.nih.gov/doi/abs/10.1289/ehp.1307923,"https://scholar.google.com/scholar?cites=5292712850106945161&as_sdt=40005&sciodt=0,10&hl=en",24,2/3/2022 14:17,,10.1289/ehp.1307923,,,,,,,159,19.88,32,5,8,Background: The Navigation Guide is a novel systematic review method to synthesize scientific evidence and reach strength of evidence conclusions for environmental health decision making. Objective: Our aim was to integrate scientific findings from human and …,https://ehp.niehs.nih.gov/doi/pdf/10.1289/ehp.1307923,"https://scholar.google.com/scholar?q=related:iQ7FkEt-c0kJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
154,A Reinhart,Statistics done wrong: The woefully complete guide,2015,,books.google.com,https://books.google.com/books?hl=en&lr=&id=_0IyDwAAQBAJ&oi=fnd&pg=PR7&ots=lHajUmHIug&sig=I44CRa6ZRtcuOS8CNCh0kDHdcoI,"https://scholar.google.com/scholar?cites=12152769328230785039&as_sdt=40005&sciodt=0,10&hl=en",25,2/3/2022 14:17,BOOK,,,,,,,,154,22,154,1,7,"Scientific progress depends on good research, and good research needs good statistics. But statistical analysis is tricky to get right, even for the best and brightest of us. You'd be surprised how many scientists are doing it wrong. Statistics Done Wrong is a pithy, essential …",https://www.inegolbestmobilya.com/sites/default/files/webform/pdf-statistics-done-wrong-the-woefully-complete-guide-alex-reinhart-pdf-download-free-book-c4ed8ec.pdf,"https://scholar.google.com/scholar?q=related:D2B13lBPp6gJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
150,"LFM de Rezende, TH de Sá, G Markozannes, ...",Physical activity and cancer: an umbrella review of the literature including 22 major anatomical sites and 770 000 cancer cases,2018,British journal of sports …,bjsm.bmj.com,https://bjsm.bmj.com/content/52/13/826.abstract,"https://scholar.google.com/scholar?cites=4724789531717022923&as_sdt=40005&sciodt=0,10&hl=en",26,2/3/2022 14:17,,,,,,,,,150,37.5,38,4,4,"Objective To provide an overview of the breadth and validity of claimed associations between physical activity and risk of developing or dying from cancer. Design Umbrella review. Data sources We searched Medline, Embase, Cochrane Database and Web of …",https://paulogentil.com/pdf/Physical%20activity%20and%20cancer%20-%20an%20umbrella%20review%20of%20the%20literature%20including%2022%20major%20anatomical%20sites%20and%20770%E2%80%89000%20cancer%20cases.pdf,"https://scholar.google.com/scholar?q=related:yzR6zAvTkUEJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
139,MR Powell,Science at EPA: Information in the regulatory process,2014,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781315074269/science-epa-mark-powell,"https://scholar.google.com/scholar?cites=8537275250607191846&as_sdt=40005&sciodt=0,10&hl=en",27,2/3/2022 14:17,BOOK,10.4324/9781315074269,,,,,,,139,17.38,139,1,8,"The US Environmental Protection Agency was created to protect public health and the environment, and it has traditionally emphasized its regulatory mission over its scientific mission. Yet for environmental policy to be credible with the public and policymakers, EPA's …",,"https://scholar.google.com/scholar?q=related:Jvcsppt-enYJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
135,"K Heinemann, S Reed, S Moehner, T Do Minh",Comparative contraceptive effectiveness of levonorgestrel-releasing and copper intrauterine devices: the European Active Surveillance Study for Intrauterine …,2015,Contraception,Elsevier,https://www.sciencedirect.com/science/article/pii/S0010782415000128,"https://scholar.google.com/scholar?cites=13932448264713476757&as_sdt=40005&sciodt=0,10&hl=en",28,2/3/2022 14:17,HTML,,,,,,,,135,19.29,34,4,7,"Objectives The objective was to measure the rate of unintended pregnancies in women using levonorgestrel-releasing intrauterine systems (LNG IUSs, releasing 20 mcg LNG daily) and copper intrauterine devices (IUDs) in a typical population of IUD users and to describe …",https://www.sciencedirect.com/science/article/pii/S0010782415000128,"https://scholar.google.com/scholar?q=related:lRrBJeH_WcEJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
128,"J Dinger, K Bardenheuer, K Heinemann",Cardiovascular and general safety of a 24-day regimen of drospirenone-containing combined oral contraceptives: final results from the International Active …,2014,Contraception,Elsevier,https://www.sciencedirect.com/science/article/pii/S001078241400033X,"https://scholar.google.com/scholar?cites=6285989449678735367&as_sdt=40005&sciodt=0,10&hl=en",29,2/3/2022 14:17,,,,,,,,,128,16,43,3,8,Abstract Objectives The “International Active Surveillance Study of Women Taking Oral Contraceptives” investigated the risks of short-and long-term use of an extended 24-day regimen of drospirenone and ethinylestradiol (DRSP 24d) compared to established oral …,,"https://scholar.google.com/scholar?q=related:B0j0kRlSPFcJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
125,JK Shim,Heart-sick,2014,,degruyter.com,https://www.degruyter.com/document/doi/10.18574/9781479866748/html,"https://scholar.google.com/scholar?cites=13009806981485825371&as_sdt=40005&sciodt=0,10&hl=en",30,2/3/2022 14:17,BOOK,10.18574/9781479866748,,,,,,,125,15.63,125,1,8,"Juanita Miller lives in a first-floor apartment on a quiet residential street in a predominantly African American community in the San Francisco Bay Area. Her neighborhood, lined with older two-story homes now split into smaller apartment units, is just blocks away from an …",https://www.degruyter.com/document/doi/10.18574/9781479866748/pdf,"https://scholar.google.com/scholar?q=related:Ww3cT4UejLQJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
116,F Arancibia,Challenging the bioeconomy: The dynamics of collective action in Argentina,2013,Technology in Society,Elsevier,https://www.sciencedirect.com/science/article/pii/S0160791X13000092,"https://scholar.google.com/scholar?cites=14288201731574312945&as_sdt=40005&sciodt=0,10&hl=en",31,2/3/2022 14:17,,,,,,,,,116,12.89,116,1,9,"This paper analyzes the local bottom-up dynamics of challenging the growth of a bioeconomy in Argentina. In the last decade, growing controversies and conflict have arisen in the region regarding the adoption of genetically modified crops and the growing use of …",https://www.researchgate.net/profile/Florencia-Arancibia/publication/322697239_Challenging_the_bioeconomy_The_dynamics_of_collective_action_in_Argentina/links/5af1c5eb0f7e9ba36645d1f1/Challenging-the-bioeconomy-The-dynamics-of-collective-action-in-Argentina.pdf,"https://scholar.google.com/scholar?q=related:8a-b0cXjScYJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
100,"J Dinger, T Do Minh, K Heinemann",Impact of estrogen type on cardiovascular safety of combined oral contraceptives,2016,Contraception,Elsevier,https://www.sciencedirect.com/science/article/pii/S0010782416301305,"https://scholar.google.com/scholar?cites=4735448268095206552&as_sdt=40005&sciodt=0,10&hl=en",32,2/3/2022 14:17,,,,,,,,,100,16.67,33,3,6,Abstract Objectives The International Active Surveillance study “Safety of Contraceptives: Role of Estrogens”(INAS-SCORE) investigated the cardiovascular risks associated with the use of a combined oral contraceptive (COC) containing dienogest and estradiol valerate …,https://facultyopinions.com/prime/726976161,"https://scholar.google.com/scholar?q=related:mLQNQByxt0EJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
96,"N Pearce, A Blair, P Vineis, W Ahrens, ...",IARC monographs: 40 years of evaluating carcinogenic hazards to humans,2015,Environmental …,ehp.niehs.nih.gov,https://ehp.niehs.nih.gov/doi/abs/10.1289/ehp.1409149,"https://scholar.google.com/scholar?cites=5988850318618122859&as_sdt=40005&sciodt=0,10&hl=en",33,2/3/2022 14:17,,10.1289/ehp.1409149,,,,,,,96,13.71,19,5,7,"Background: Recently, the International Agency for Research on Cancer (IARC) Programme for the Evaluation of Carcinogenic Risks to Humans has been criticized for several of its evaluations, and also for the approach used to perform these evaluations. Some critics have …",https://ehp.niehs.nih.gov/doi/full/10.1289/ehp.1409149?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,"https://scholar.google.com/scholar?q=related:a9o3bqKrHFMJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
